Timestamp;Entrevistador;Longitude;Latitude;;;;;;;;;;;;;;;;;
11/13/2020 12:00;htomt;-38.7282251;-8.1257458;;;;;;;;;;;;;;;;;
11/13/2020 12:03;htomt;-38.7279575;-8.1260029;;;;;;;;;;;;;;;;;
11/13/2020 12:06;htomt;-38.72811137;-8.126357761;;;;;;;;;;;;;;;;;
11/13/2020 12:08;htomt;-38.72809259;-8.126232033;;;;;;;;;;;;;;;;;
11/13/2020 12:32;usapi;-38.7280544;-8.1216597;;;;;;;;;;;;;;;;;
11/13/2020 12:35;usapi;-38.727828;-8.1220634;;;;;;;;;;;;;;;;;
11/13/2020 12:36;usapi;-38.7278056;-8.1222075;;;;;;;;;;;;;;;;;
11/13/2020 12:38;usapi;-38.7277682;-8.1222955;;;;;;;;;;;;;;;;;
11/13/2020 12:40;usapi;-38.7279312;-8.1224246;;;;;;;;;;;;;;;;;
11/13/2020 12:42;usapi;-38.7279794;-8.1225047;;;;;;;;;;;;;;;;;
11/13/2020 12:45;usapi;-38.728048;-8.1226403;;;;;;;;;;;;;;;;;
11/13/2020 12:33;ahman;-38.729782;-8.122617;;;;;;;;;;;;;;;;;
11/13/2020 12:35;ahman;-38.7307639;-8.1202886;;;;;;;;;;;;;;;;;
11/13/2020 12:37;ahman;-38.729782;-8.122617;;;;;;;;;;;;;;;;;
11/13/2020 12:38;ahman;-38.729782;-8.122617;;;;;;;;;;;;;;;;;
11/13/2020 12:41;ahman;-38.729782;-8.122617;;;;;;;;;;;;;;;;;
11/13/2020 12:43;ahman;-38.729782;-8.122617;;;;;;;;;;;;;;;;;
11/13/2020 12:45;ahman;-38.7271635;-8.1234653;;;;;;;;;;;;;;;;;
11/13/2020 12:47;ahman;-38.729782;-8.122617;;;;;;;;;;;;;;;;;
11/13/2020 12:41;htomt;-38.7296755;-8.1205016;;;;;;;;;;;;;;;;;
11/13/2020 12:43;htomt;-38.7295666;-8.1207993;;;;;;;;;;;;;;;;;
11/13/2020 12:48;htomt;-38.7286733;-8.1197321;;;;;;;;;;;;;;;;;
11/13/2020 12:51;htomt;-38.7284351;-8.1197543;;;;;;;;;;;;;;;;;
11/13/2020 12:54;htomt;-38.7282641;-8.1191963;;;;;;;;;;;;;;;;;
11/13/2020 12:58;htomt;-38.7285037;-8.119064;;;;;;;;;;;;;;;;;
11/13/2020 13:00;htomt;-38.7290719;-8.1187743;;;;;;;;;;;;;;;;;
11/13/2020 13:02;htomt;-38.7289367;-8.1186972;;;;;;;;;;;;;;;;;
11/13/2020 15:06;htomt;-38.7301093;-8.122303;;;;;;;;;;;;;;;;;
11/13/2020 16:02;htomt;-38.8164388;-8.1924459;;;;;;;;;;;;;;;;;
11/13/2020 16:04;htomt;-38.8164392;-8.1924454;;;;;;;;;;;;;;;;;
11/13/2020 11:33;etuee;-38.7281234;-8.1230237;;;;;;;;;;;;;;;;;
11/13/2020 11:36;etuee;-38.7274528;-8.1236648;;;;;;;;;;;;;;;;;
11/13/2020 11:40;etuee;-38.7273098;-8.1230482;;;;;;;;;;;;;;;;;
11/13/2020 15:03;ahman;-38.76906757;-8.14616073;;;;;;;;;;;;;;;;;
11/13/2020 11:43;etuee;-38.7273244;-8.1228869;;;;;;;;;;;;;;;;;
11/13/2020 15:05;ahman;-38.76916172;-8.14647981;;;;;;;;;;;;;;;;;
11/13/2020 15:10;ahman;-38.76943463;-8.14521119;;;;;;;;;;;;;;;;;
11/13/2020 15:16;ahman;-38.7774887;-8.1444631;;;;;;;;;;;;;;;;;
11/13/2020 15:49;ahman;-38.81832794;-8.19208533;;;;;;;;;;;;;;;;;
11/13/2020 15:55;ahman;-38.8175344;-8.19318725;;;;;;;;;;;;;;;;;
11/13/2020 15:01;usapi;-38.76931019;-8.14469761;;;;;;;;;;;;;;;;;
11/13/2020 11:46;etuee;-38.7272863;-8.1226785;;;;;;;;;;;;;;;;;
11/13/2020 11:48;etuee;-38.7272708;-8.1225675;;;;;;;;;;;;;;;;;
11/13/2020 15:06;usapi;-38.76913439;-8.14672138;;;;;;;;;;;;;;;;;
11/13/2020 15:50;usapi;-38.818005;-8.19177003;;;;;;;;;;;;;;;;;
11/13/2020 15:53;usapi;-38.81746764;-8.19274404;;;;;;;;;;;;;;;;;
11/13/2020 11:52;etuee;-38.727179;-8.1221821;;;;;;;;;;;;;;;;;
11/13/2020 11:59;etuee;-38.7266092;-8.1203396;;;;;;;;;;;;;;;;;
11/13/2020 14:00;etuee;-38.76902289;-8.1437935;;;;;;;;;;;;;;;;;
11/13/2020 14:02;etuee;-38.76884826;-8.14435968;;;;;;;;;;;;;;;;;
11/13/2020 14:09;etuee;-38.77067861;-8.14504594;;;;;;;;;;;;;;;;;
11/13/2020 14:49;etuee;-38.8182847;-8.1921356;;;;;;;;;;;;;;;;;
11/13/2020 14:51;etuee;-38.8182679;-8.1921658;;;;;;;;;;;;;;;Estado;Receita;Despesa
11/13/2020 17:12;etuee;-38.7274583;-8.1158059;;;;;;;;;;;;;;;Seattle;70;20
11/13/2020 17:23;etuee;-38.3057305;-7.9872832;;;;;;;;;;;;;;;Berlim;85;55
11/13/2020 17:26;etuee;-38.3057316;-7.9872819;;;;;;;;;;;;;;;Londres;60;40
11/13/2020 17:29;etuee;-38.7264801;-8.1212453;;;;;;;;;;;;;;;Paris;35;60
11/13/2020 18:16;htomt;-38.7294547;-8.1159992;;;;;;;;;;;;;;;T¢quio;80;20
11/13/2020 17:52;etuee;-38.6840532;-8.0874101;;;;;;;;;;;;;;;;;
11/13/2020 17:55;etuee;-38.6847552;-8.0872007;;;;;;;;;;;;;;Estado;Receita;Despesa;
11/13/2020 18:32;htomt;-38.67755215;-8.072352195;;;;;;;;;;;;;;PA;70;20;
11/13/2020 17:58;etuee;-38.6851526;-8.0873348;;;;;;;;;;;;;;MG;85;55;
11/13/2020 18:38;htomt;-38.6774638;-8.0731429;;;;;;;;;;;;;;PB;60;40;
11/13/2020 18:53;htomt;-38.68052546;-8.083392209;;;;;;;;;;;;;;SP;35;60;
11/13/2020 18:58;htomt;-38.68404611;-8.087430317;;;;;;;;;;;;;;RJ;80;20;
11/13/2020 19:00;htomt;-38.7068667;-8.0919122;;;;;;;;;;;;;;SE;10;10;
11/13/2020 19:06;htomt;-38.6840683;-8.0874711;;;;;;;;;;;;;;RR;10;10;
11/13/2020 18:25;usapi;-38.7074193;-8.2524183;;;;;;;;;;;;;;AL;10;10;
11/13/2020 18:29;usapi;-38.816766;-8.193067;;;;;;;;;;;;;;;;;
11/13/2020 18:30;usapi;-38.816766;-8.1930682;;;;;;;;;;;;;;;;;
11/13/2020 18:53;usapi;-38.68438292;-8.08742183;;;;;;;;;;;;;;;;;
11/13/2020 18:55;usapi;-38.6846957;-8.087213;;;;;;;;;;;;;;;;;
11/13/2020 18:14;ahman;-38.68203186;-8.09513573;;;;;;;;;;;;;;;;;
11/13/2020 18:28;ahman;-38.7288001;-8.1155181;;;;;;;;;;;;;;;;;
11/13/2020 18:32;ahman;-38.7288001;-8.1155181;;;;;;;;;;;;;;;;;
11/13/2020 18:52;ahman;-38.68423802;-8.08739008;;;;;;;;;;;;;;;;;
11/13/2020 18:55;ahman;-38.68466661;-8.08726521;;;;;;;;;;;;;;;;;
11/13/2020 18:56;ahman;-38.68472441;-8.08732337;;;;;;;;;;;;;;;;;
